time	V(n004)	V(n005)
0.000000000000000e+00	0.000000e+00	0.000000e+00
2.267600135441583e-10	1.649155e-07	1.567253e-07
4.535200270883166e-10	3.380204e-07	3.134505e-07
9.070400541766332e-10	7.006072e-07	6.269011e-07
1.814080108353266e-09	1.524023e-06	1.253802e-06
3.628160216706533e-09	3.563624e-06	2.507604e-06
7.256320433413066e-09	9.212297e-06	5.015208e-06
1.451264086682613e-08	2.677471e-05	1.003042e-05
2.902528173365226e-08	8.685768e-05	2.006083e-05
5.805056346730453e-08	3.060450e-04	4.012167e-05
1.161011269346091e-07	1.134110e-03	8.024334e-05
2.038756434542603e-07	3.347469e-03	1.409087e-04
3.079383809518666e-07	7.417310e-03	2.128317e-04
4.063719225329814e-07	1.265125e-02	2.808641e-04
5.450707308975398e-07	2.218911e-02	3.767258e-04
7.194319489427035e-07	3.755663e-02	4.972356e-04
9.680411473687845e-07	6.543624e-02	6.690618e-04
1.293911477614309e-06	1.114891e-01	8.942870e-04
1.755315088366845e-06	1.924720e-01	1.213185e-03
2.387556395389553e-06	3.277924e-01	1.650158e-03
3.306914452716563e-06	5.618526e-01	2.285567e-03
4.653106534277438e-06	9.570239e-01	3.215974e-03
6.767677363952614e-06	1.645298e+00	4.677414e-03
9.967491985816617e-06	2.750294e+00	6.888818e-03
1.496043271995135e-05	4.512017e+00	1.033917e-02
2.267600000000000e-05	7.243257e+00	1.566996e-02
2.822738229912122e-05	8.115436e+00	1.950442e-02
3.476919685656796e-05	8.010072e+00	2.402149e-02
3.990118655509443e-05	8.027403e+00	2.756374e-02
4.624706404566987e-05	8.025097e+00	3.194191e-02
5.893881902682074e-05	8.023682e+00	4.069054e-02
8.161481902682074e-05	8.020403e+00	5.628853e-02
1.042908190268207e-04	8.017412e+00	7.183123e-02
1.269668190268207e-04	8.014221e+00	8.730336e-02
1.496428190268207e-04	8.011158e+00	1.026897e-01
1.723188190268208e-04	8.008002e+00	1.179752e-01
1.949948190268208e-04	8.004901e+00	1.331448e-01
2.176708190268208e-04	8.001755e+00	1.481835e-01
2.403468190268208e-04	7.998629e+00	1.630767e-01
2.630228190268208e-04	7.995479e+00	1.778097e-01
2.856988190268208e-04	7.992332e+00	1.923680e-01
3.083748190268208e-04	7.989161e+00	2.067373e-01
3.310508190268208e-04	7.985973e+00	2.209034e-01
3.537268190268208e-04	7.982737e+00	2.348526e-01
3.764028190268208e-04	7.979416e+00	2.485711e-01
3.990788190268208e-04	7.975923e+00	2.620453e-01
4.217548190268209e-04	7.972091e+00	2.752621e-01
4.444308190268209e-04	7.967590e+00	2.882085e-01
4.671068190268209e-04	7.961792e+00	3.008717e-01
4.897828190268209e-04	7.953515e+00	3.132393e-01
5.124588190268209e-04	7.940598e+00	3.252992e-01
5.351348190268209e-04	7.919213e+00	3.370396e-01
5.578108190268209e-04	7.882855e+00	3.484488e-01
5.804868190268209e-04	7.821135e+00	3.595156e-01
6.031628190268209e-04	7.718831e+00	3.702293e-01
6.258388190268210e-04	7.556985e+00	3.805792e-01
6.485148190268210e-04	7.316880e+00	3.905553e-01
6.711908190268210e-04	6.987498e+00	4.001476e-01
6.938668190268210e-04	6.572337e+00	4.093469e-01
7.165428190268210e-04	6.089884e+00	4.181440e-01
7.392188190268210e-04	5.567778e+00	4.265303e-01
7.618948190268210e-04	5.034974e+00	4.344975e-01
7.845708190268210e-04	4.516414e+00	4.420379e-01
8.072468190268210e-04	4.030876e+00	4.491440e-01
8.299228190268211e-04	3.591028e+00	4.558089e-01
8.525988190268211e-04	3.204412e+00	4.620260e-01
8.752748190268211e-04	2.874662e+00	4.677891e-01
8.979508190268211e-04	2.602587e+00	4.730927e-01
9.206268190268211e-04	2.387060e+00	4.779315e-01
9.433028190268211e-04	2.225674e+00	4.823008e-01
9.659788190268211e-04	2.115316e+00	4.861962e-01
9.886548190268210e-04	2.052176e+00	4.896140e-01
1.011330819026821e-03	2.032470e+00	4.925508e-01
1.034006819026821e-03	2.052372e+00	4.950036e-01
1.056682819026821e-03	2.108012e+00	4.969702e-01
1.079358819026821e-03	2.195739e+00	4.984485e-01
1.102034819026821e-03	2.312006e+00	4.994372e-01
1.124710819026820e-03	2.453519e+00	4.999352e-01
1.147386819026820e-03	2.617135e+00	4.999419e-01
1.170062819026820e-03	2.799942e+00	4.994576e-01
