time	V(n001)	V(n002)
0.000000000000000e+00	0.000000e+00	0.000000e+00
2.267600135441583e-10	1.570815e-05	7.578324e-11
4.535200270883166e-10	3.141629e-05	2.273493e-10
9.070400541766332e-10	6.283259e-05	6.820464e-10
1.814080108353266e-09	1.256652e-04	2.500822e-09
3.628160216706533e-09	2.513303e-04	9.775808e-09
7.256320433413066e-09	5.026607e-04	3.887482e-08
1.451264086682613e-08	1.005321e-03	1.552634e-07
2.902528173365226e-08	2.010643e-03	6.207579e-07
5.805056346730453e-08	4.021285e-03	2.482257e-06
1.161011269346091e-07	8.042567e-03	9.924421e-06
2.322022538692181e-07	1.608511e-02	3.966245e-05
4.644045077384362e-07	3.217006e-02	1.583699e-04
9.288090154768724e-07	6.433879e-02	6.312480e-04
1.857618030953745e-06	1.286669e-01	2.507235e-03
3.715236061907490e-06	2.572486e-01	9.888376e-03
7.430472123814980e-06	5.138159e-01	3.845189e-02
8.430472123814980e-06	5.826697e-01	4.918385e-02
1.426696270130160e-05	9.818798e-01	1.348935e-01
1.526696270130160e-05	1.049707e+00	1.534377e-01
2.359502897297115e-05	1.605523e+00	3.445435e-01
2.459502897297115e-05	1.670970e+00	3.717754e-01
3.358820970526311e-05	2.243657e+00	6.483743e-01
3.458820970526311e-05	2.305346e+00	6.825246e-01
3.849045661687755e-05	2.541730e+00	8.202578e-01
3.949045661687754e-05	2.601138e+00	8.565554e-01
4.181511438534846e-05	2.737293e+00	9.412807e-01
4.406101980077214e-05	2.866140e+00	1.021545e+00
4.641187598777739e-05	2.998034e+00	1.098640e+00
4.895007584415503e-05	3.136865e+00	1.165267e+00
5.151066719090452e-05	3.272990e+00	1.208058e+00
5.429160812333326e-05	3.416157e+00	1.231000e+00
5.713578120084434e-05	3.557334e+00	1.242232e+00
6.114869062617894e-05	3.747081e+00	1.251351e+00
6.572685546891481e-05	3.949383e+00	1.258608e+00
7.302403602061428e-05	4.238689e+00	1.268562e+00
8.385024251937056e-05	4.587397e+00	1.279491e+00
8.485024251937056e-05	4.614511e+00	1.280269e+00
1.008502425193706e-04	4.924869e+00	1.289081e+00
1.018502425193705e-04	4.936359e+00	1.289403e+00
1.178502425193705e-04	4.990408e+00	1.291225e+00
1.188502425193705e-04	4.985641e+00	1.291135e+00
1.348502425193706e-04	4.780396e+00	1.286362e+00
1.358502425193705e-04	4.759634e+00	1.285854e+00
1.518502425193706e-04	4.306430e+00	1.273823e+00
1.528502425193706e-04	4.270819e+00	1.272818e+00
1.688502425193706e-04	3.594678e+00	1.251372e+00
1.698502425193706e-04	3.546185e+00	1.249670e+00
1.858502425193706e-04	2.684443e+00	1.213347e+00
1.868502425193706e-04	2.625745e+00	1.210434e+00
2.028502425193706e-04	1.625982e+00	1.142162e+00
2.038502425193706e-04	1.560321e+00	1.136520e+00
2.058502425193706e-04	1.428114e+00	1.123709e+00
2.098502425193706e-04	1.160512e+00	1.094913e+00
2.108502425193706e-04	1.093022e+00	1.086693e+00
2.149383902792097e-04	8.150719e-01	1.047877e+00
2.159383902792097e-04	7.466504e-01	1.037032e+00
2.231146857988881e-04	2.522293e-01	9.387723e-01
2.241146857988881e-04	1.830234e-01	9.220921e-01
2.286143383212401e-04	-1.286220e-01	8.361787e-01
2.296143383212401e-04	-1.978566e-01	8.146620e-01
2.339707437342962e-04	-4.988544e-01	7.104731e-01
2.349707437342962e-04	-5.677308e-01	6.841735e-01
2.390755777497079e-04	-8.491722e-01	5.673871e-01
2.400755777497079e-04	-9.173543e-01	5.368251e-01
2.447687003784041e-04	-1.234775e+00	3.833851e-01
2.457687003784041e-04	-1.301781e+00	3.486119e-01
2.526142827083309e-04	-1.753098e+00	9.391481e-02
2.536142827083309e-04	-1.817802e+00	5.435086e-02
2.663054473681845e-04	-2.604546e+00	-4.846087e-01
2.673054473681846e-04	-2.663426e+00	-5.298570e-01
2.821565994340151e-04	-3.471779e+00	-1.222311e+00
2.831565994340151e-04	-3.521295e+00	-1.270188e+00
2.991565994340151e-04	-4.215574e+00	-2.026019e+00
3.001565994340152e-04	-4.252418e+00	-2.072501e+00
3.161565994340152e-04	-4.726601e+00	-2.775611e+00
3.171565994340152e-04	-4.748739e+00	-2.816917e+00
3.331565994340152e-04	-4.976643e+00	-3.412035e+00
3.341565994340152e-04	-4.982853e+00	-3.445039e+00
3.501565994340152e-04	-4.951894e+00	-3.887888e+00
3.728325994340153e-04	-4.495709e+00	-4.212800e+00
3.738325994340153e-04	-4.464961e+00	-4.218432e+00
3.898325994340153e-04	-3.860946e+00	-4.202292e+00
3.908325994340153e-04	-3.816562e+00	-4.194639e+00
4.068325994340153e-04	-3.012996e+00	-3.967775e+00
4.078325994340153e-04	-2.957427e+00	-3.947090e+00
4.238325994340154e-04	-1.998681e+00	-3.519743e+00
4.248325994340154e-04	-1.934994e+00	-3.487052e+00
4.268325994340154e-04	-1.806519e+00	-3.418460e+00
4.308325994340154e-04	-1.545507e+00	-3.276223e+00
