time	V(n001)	V(n002)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.999999992008394e-11	1.200000e-04	4.022926e-17
2.066666658941522e-11	1.240000e-04	4.161413e-17
2.199999992807777e-11	1.320000e-04	4.447569e-17
2.466666660540286e-11	1.480000e-04	5.081542e-17
2.999999996005304e-11	1.800000e-04	6.632724e-17
4.066666666935342e-11	2.440000e-04	1.113050e-16
6.200000008795418e-11	3.720000e-04	2.773716e-16
1.046666669251557e-10	6.280000e-04	1.043987e-15
1.900000005995587e-10	1.140000e-03	5.051441e-15
3.606666679483648e-10	2.164000e-03	2.660226e-14
7.020000026459769e-10	4.212000e-03	1.426789e-13
1.384666672041201e-09	8.308000e-03	7.934976e-13
2.750000010831650e-09	1.650000e-02	4.763808e-12
5.480666688412546e-09	3.288400e-02	3.133189e-11
1.094200004357434e-08	6.565200e-02	2.226022e-10
1.839612232698025e-08	1.103767e-01	9.851847e-10
2.730894367731755e-08	1.638537e-01	3.093775e-09
3.542084305729198e-08	2.125251e-01	6.593810e-09
4.731017337160420e-08	2.838610e-01	1.547675e-08
6.154968329159937e-08	3.692981e-01	3.372082e-08
8.181829062854680e-08	4.909098e-01	7.867501e-08
1.071219722138534e-07	6.427318e-01	1.756052e-07
1.419174026279175e-07	8.515044e-01	4.069151e-07
1.864887117649606e-07	1.118932e+00	9.205975e-07
2.461458936891391e-07	1.476875e+00	2.112849e-06
3.235629285334743e-07	1.941378e+00	4.791787e-06
4.264685263118729e-07	2.558811e+00	1.096237e-05
5.608331856980063e-07	3.364999e+00	2.491585e-05
7.385948163363844e-07	4.431569e+00	5.690130e-05
9.714300472241226e-07	5.828580e+00	1.294691e-04
1.278616091042083e-06	7.671697e+00	2.953504e-04
1.681621067714101e-06	1.008973e+01	6.723437e-04
2.000000000000000e-06	1.200000e+01	1.128395e-03
2.636757864571798e-06	1.200000e+01	2.539216e-03
3.214269038279517e-06	1.200000e+01	4.410826e-03
4.257582019203581e-06	1.200000e+01	9.223497e-03
5.351288398742690e-06	1.200000e+01	1.624615e-02
6.746640401939551e-06	1.200000e+01	2.812675e-02
8.013936525707780e-06	1.200000e+01	4.172192e-02
9.198445714965647e-06	1.200000e+01	5.679657e-02
1.034583535617885e-05	1.200000e+01	7.352553e-02
1.143131050500517e-05	1.200000e+01	9.122076e-02
1.343131050500517e-05	1.200000e+01	1.283295e-01
1.543131050500517e-05	1.200000e+01	1.708973e-01
1.743131050500517e-05	1.200000e+01	2.183602e-01
1.943131050500517e-05	1.200000e+01	2.700726e-01
2.143131050500517e-05	1.200000e+01	3.253194e-01
2.343131050500517e-05	1.200000e+01	3.833293e-01
2.543131050500517e-05	1.200000e+01	4.432892e-01
2.743131050500517e-05	1.200000e+01	5.043594e-01
2.943131050500517e-05	1.200000e+01	5.656894e-01
3.143131050500518e-05	1.200000e+01	6.264340e-01
3.343131050500518e-05	1.200000e+01	6.857685e-01
3.543131050500518e-05	1.200000e+01	7.429048e-01
3.743131050500518e-05	1.200000e+01	7.971058e-01
3.943131050500518e-05	1.200000e+01	8.476991e-01
4.143131050500518e-05	1.200000e+01	8.940896e-01
4.343131050500518e-05	1.200000e+01	9.357708e-01
4.543131050500518e-05	1.200000e+01	9.723339e-01
4.743131050500519e-05	1.200000e+01	1.003476e+00
4.943131050500519e-05	1.200000e+01	1.029004e+00
5.143131050500519e-05	1.200000e+01	1.048840e+00
5.343131050500519e-05	1.200000e+01	1.063021e+00
5.543131050500519e-05	1.200000e+01	1.071694e+00
5.743131050500519e-05	1.200000e+01	1.075104e+00
5.908170526071171e-05	1.200000e+01	1.074166e+00
6.050388876210262e-05	1.200000e+01	1.070776e+00
6.181877405887213e-05	1.200000e+01	1.065565e+00
6.308877436001650e-05	1.200000e+01	1.058553e+00
6.441296448704406e-05	1.200000e+01	1.048786e+00
6.566716909364376e-05	1.200000e+01	1.036317e+00
6.696033618564818e-05	1.200000e+01	1.018128e+00
6.825649845605732e-05	1.200000e+01	9.908226e-01
6.968022041010703e-05	1.200000e+01	9.445854e-01
7.137720606516750e-05	1.200000e+01	8.623334e-01
7.337720606516749e-05	1.200000e+01	7.344806e-01
7.537720606516749e-05	1.200000e+01	5.910636e-01
7.737720606516748e-05	1.200000e+01	4.480847e-01
7.874717261877042e-05	1.200000e+01	3.549381e-01
7.947775625674969e-05	1.200000e+01	3.079433e-01
7.997250155856463e-05	1.200000e+01	2.781925e-01
8.034101730749692e-05	1.200000e+01	2.583918e-01
8.071890677801667e-05	1.200000e+01	2.419694e-01
8.120075594426223e-05	1.200000e+01	2.287046e-01
8.164102128545444e-05	1.200000e+01	2.237066e-01
8.214186058032572e-05	1.200000e+01	2.235689e-01
8.280692177085464e-05	1.200000e+01	2.279297e-01
8.359770981071062e-05	1.200000e+01	2.357547e-01
8.455872401027473e-05	1.200000e+01	2.465995e-01
8.574323388669566e-05	1.200000e+01	2.609874e-01
8.774323388669566e-05	1.200000e+01	2.871338e-01
8.974323388669565e-05	1.200000e+01	3.152742e-01
9.174323388669565e-05	1.200000e+01	3.453918e-01
9.374323388669564e-05	1.200000e+01	3.779027e-01
9.574323388669564e-05	1.200000e+01	4.138164e-01
9.774323388669563e-05	1.200000e+01	4.551127e-01
9.974323388669563e-05	1.200000e+01	5.051641e-01
1.017432338866956e-04	1.200000e+01	5.680069e-01
1.026395342681321e-04	1.200000e+01	6.010487e-01
1.034550786189715e-04	1.200000e+01	6.338454e-01
1.045006175551017e-04	1.200000e+01	6.795735e-01
1.055259810956041e-04	1.200000e+01	7.282258e-01
1.068280452572270e-04	1.200000e+01	7.949921e-01
1.085834150603973e-04	1.200000e+01	8.928216e-01
1.105834150603973e-04	1.200000e+01	1.013459e+00
1.125834150603973e-04	1.200000e+01	1.141592e+00
1.145834150603973e-04	1.200000e+01	1.274640e+00
